l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
1.306870e-07,130.6870,4.842806e+02,1.257628e+02,0.585545,0
1.325087e-07,132.5087,4.776228e+02,1.278073e+02,0.572530,0
1.343558e-07,134.3558,4.710566e+02,1.298850e+02,0.559514,0
1.362287e-07,136.2287,4.645806e+02,1.319964e+02,0.546499,0
1.381276e-07,138.1276,4.581936e+02,1.341422e+02,0.533483,0
1.400531e-07,140.0531,4.518944e+02,1.363229e+02,0.520468,0
1.420053e-07,142.0053,4.456819e+02,1.385390e+02,0.507453,0
1.439848e-07,143.9848,4.395547e+02,1.407912e+02,0.494437,0
1.459919e-07,145.9919,4.335118e+02,1.430800e+02,0.481422,0
1.480269e-07,148.0269,4.275519e+02,1.454059e+02,0.468407,0
1.500903e-07,150.0903,4.216740e+02,1.477697e+02,0.455391,0
1.521825e-07,152.1825,4.158769e+02,1.501720e+02,0.442376,0
1.543038e-07,154.3038,4.101595e+02,1.526132e+02,0.429361,0
1.564548e-07,156.4548,4.045207e+02,1.550942e+02,0.416345,0
1.586357e-07,158.6357,3.989595e+02,1.576155e+02,0.403330,0
1.608469e-07,160.8469,3.934746e+02,1.601777e+02,0.390315,0
1.630891e-07,163.0891,3.880652e+02,1.627816e+02,0.377299,0
1.653624e-07,165.3624,3.827302e+02,1.654279e+02,0.364284,0
1.676675e-07,167.6675,3.774685e+02,1.681172e+02,0.351269,0
1.700047e-07,170.0047,3.722791e+02,1.708502e+02,0.338253,0
1.723745e-07,172.3745,3.671611e+02,1.736276e+02,0.325238,0
1.747773e-07,174.7773,3.621134e+02,1.764502e+02,0.312223,0
1.772136e-07,177.2136,3.571351e+02,1.793186e+02,0.299207,0
1.796838e-07,179.6838,3.522253e+02,1.822337e+02,0.286192,0
